geno	mating	
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB1a	mated
YB10	mated
YB10	mated
YB10	mated
YB10	mated
YB10	mated
YB10	mated
YB10	mated
YB10	mated
YB10	mated
YB2a	mated
YB2a	mated
YB2a	mated
YB2b	mated
YB2b	mated
YB2b	mated
YB2b	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB20	mated
YB30	mated
YB30	mated
YB30	mated
YB30	mated
YB50	mated
YB50	mated
YB50	mated
YB40	mated
YB40	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	mated
XX	pre
YB2a 	pre
XX	pre
YB1a	pre
YB30	pre
XX	pre
XX	pre
YB30	pre
YB20	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
YB2b 	pre
XX	pre
XX	pre
YB2b 	pre
XX	pre
YB10	pre
XX	pre
YB10	pre
XX	pre
YB20	pre
YB1a	pre
YB1a	pre
XX	pre
XX	pre
YB30	pre
YB20	pre
YB2b 	pre
YB2b 	pre
YB2a 	pre
YB1a	pre
XX	pre
YB20	pre
XX	pre
XX	pre
YB10	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB20	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB50	pre
YB20	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB50	pre
XX	pre
YB2a 	pre
YB30	pre
XX	pre
YB2a 	pre
XX	pre
YB10	pre
YB40	pre
XX	pre
YB1a	pre
YB2b 	pre
YB10	pre
YB1a	pre
YB2a 	pre
YB10	pre
YB50	pre
YB2b 	pre
YB40	pre
YB20	pre
XX	pre
XX	pre
YB2b 	pre
YB30	pre
XX	pre
XX	pre
YB20	pre
XX	pre
YB50	pre
XX	pre
YB2b 	pre
XX	pre
YB1a 	pre
YB10 	pre
XX	pre
YB30	pre
XX	pre
XX	pre
YB2b 	pre
YB1a	pre
XX	pre
YB1a	pre
XX	pre
YB1a	pre
YB1a	pre
YB2a 	pre
YB1a	pre
YB1a	pre
YB10	pre
XX	pre
XX	pre
XX	pre
YB10	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
YB50	pre
YB1a	pre
YB1a	pre
XX	pre
YB1a	pre
YB1a	pre
XX	pre
XX	pre
YB50	pre
YB1a	pre
XX	pre
YB2b 	pre
YB2b 	pre
YB1a	pre
YB30	pre
XX	pre
YB50	pre
YB2b 	pre
YB10	pre
YB1a	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB1a	pre
YB30	pre
XX	pre
XX	pre
XX	pre
YB20	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB2a 	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB2a 	pre
YB1a	pre
YB20	pre
YB2a 	pre
YB1a	pre
YB1a	pre
XX	pre
YB10	pre
YB30	pre
YB1a	pre
XX	pre
YB30	pre
YB10 	pre
XX	pre
XX	pre
XX	pre
YB30	pre
XX	pre
XX	pre
YB10	pre
XX	pre
XX	pre
YB1a	pre
YB2a 	pre
XX	pre
XX	pre
YB50	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
YB50	pre
XX	pre
YB1a	pre
XX	pre
YB1a	pre
YB2a 	pre
XX	pre
YB2a	pre
XX	pre
XX	pre
XX	pre
YB2a	pre
YB50	pre
YB30	pre
YB1a	pre
YB1a	pre
XX	pre
XX	pre
YB1a	pre
XX	pre
YB2b 	pre
YB10	pre
XX	pre
XX	pre
XX	pre
YB10	pre
YB1a	pre
YB2a 	pre
YB30	pre
YB30	pre
YB2b 	pre
YB30	pre
YB30	pre
XX	pre
YB1a	pre
YB2a 	pre
YB2b 	pre
YB2b 	pre
XX	pre
YB20	pre
XX	pre
YB2a 	pre
XX	pre
YB20	pre
YB30	pre
YB2a 	pre
YB50	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB2a 	pre
YB30	pre
XX	pre
XX	pre
YB2a 	pre
YB1a	pre
YB1a	pre
YB2b 	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
YB1a	pre
XX	pre
YB2a 	pre
YB20	pre
YB10	pre
YB2a 	pre
XX	pre
YB2b  	pre
YB1a	pre
YB2b  	pre
YB50	pre
YB1a	pre
YB40	pre
YB1a	pre
YB1a	pre
YB30	pre
YB1a	pre
YB1a	pre
YB1a	pre
YB20	pre
YB20	pre
YB10	pre
YB10	pre
YB1a	pre
YB2a 	pre
XX	pre
XX	pre
XX	pre
YB10	pre
YB50	pre
XX	pre
YB1a	pre
YB1a	pre
XX	pre
XX	pre
YB2a 	pre
XX	pre
XX	pre
YB1a	pre
YB2a	pre
XX	pre
YB50	pre
YB1a	pre
YB40	pre
YB1a	pre
YB1a	pre
YB30	pre
XX	pre
XX	pre
XX	pre
YB2a	pre
YB1a	pre
YB1a	pre
YB1a	pre
YB20	pre
YB20	pre
YB10	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB30	pre
YB10	pre
YB1a	pre
YB2a	pre
XX	pre
XX	pre
XX	pre
YB10	pre
YB50	pre
XX	pre
YB1a	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB2a	pre
XX	pre
XX	pre
YB2a	pre
YB1a	pre
YB1a	pre
YB1a	pre
YB2a 	pre
XX	pre
YB30	pre
YB1a	pre
YB1a	pre
YB20	pre
YB50	pre
YB1a	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB30	pre
XX	pre
YB1a	pre
YB2a 	pre
YB30	pre
YB10	pre
YB2b 	pre
YB1a	pre
YB2a 	pre
YB1a	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
YB20	pre
YB1a	pre
YB1a	pre
XX	pre
XX	pre
YB10	pre
XX	pre
YB50	pre
YB20	pre
YB30	pre
YB40	pre
XX	pre
YB2a 	pre
YB30	pre
YB1a	pre
YB2a 	pre
XX	pre
XX	pre
YB1a	pre
XX	pre
YB20	pre
YB2a 	pre
YB2b  	pre
XX	pre
XX	pre
YB1a	pre
XX	pre
YB2b  	pre
YB2a 	pre
YB10	pre
YB1a	pre
YB40	pre
XX	pre
YB2a 	pre
YB10	pre
YB1a	pre
YB2a 	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
YB50	pre
YB1a	pre
XX	pre
XX	pre
YB20	pre
YB1a	pre
YB1a	pre
YB1a	pre
YB30	pre
YB20	pre
YB2a 	pre
YB1a	pre
XX	pre
XX	pre
YB50	pre
YB1a	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB1a	pre
YB10	pre
XX	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB2b  	pre
XX	pre
XX	pre
YB20	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
YB20	pre
YB30	pre
YB1a	pre
YB10	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
YB1a	pre
YB20	pre
YB1a	pre
YB10	pre
YB1a	pre
XX	pre
YB2a 	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
XX	pre
YB1a	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
YB1a	pre
YB1a	pre
YB30	pre
YB20	pre
YB30	pre
XX	pre
YB1a	pre
YB40	pre
YB1a	pre
YB30	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
YB30	pre
YB1a	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
XX	pre
YB1a	pre
YB10	pre
XX	pre
XX	pre
YB1a	pre
YB1a	pre
YB1a	pre
XX	pre
YB20	pre
YB10	pre
YB1a	pre
XX	pre
YB1a	pre
YB20	pre
XX	pre
YB10	pre
XX	pre
YB30	pre
YB2b  	pre
YB1a	pre
YB30	pre
YB20	pre
YB2b  	pre
