id	sex	amplexus_dead	amplexus	l1	l2	w	date	year	time	day	field	pop	day_numeric	genotype
M001	M	N	N	85.30	134.90	57.8	08/04/2014	2014	NA2	A	NA2	M	NA2	XX
M002	M	N	N	86.60	129.90	62	08/04/2014	2014	NA2	A	NA2	M	NA2	YB2a 
M003	M	N	N	84.60	122.90	51.5	08/04/2014	2014	NA2	A	NA2	M	NA2	XX
M004	M	N	N	78.50	123.10	49.2	08/04/2014	2014	NA2	A	NA2	M	NA2	YB1a
M005	M	N	N	88.30	137.20	63	08/04/2014	2014	NA2	A	NA2	M	NA2	YB30
M006	M	N	N	94.90	137.40	81.4	08/04/2014	2014	NA2	A	NA2	M	NA2	XX
M007	M	N	N	90.90	135.00	43.4	08/04/2014	2014	NA2	A	NA2	M	NA2	XX
M008	M	N	N	72.70	125.00	43.4	08/04/2014	2014	NA2	A	NA2	M	NA2	YB30
M009	M	N	N	83.20	112.30	33.5	09/04/2014	2014	NA2	B	NA2	M	NA2	YB20
M010	M	N	N	93.60	121.50	54.4	09/04/2014	2014	NA2	B	NA2	M	NA2	XX
M011	M	N	N	75.00	122.40	37.6	09/04/2014	2014	NA2	B	NA2	M	NA2	XX
M012	M	N	N	76.20	121.00	45	09/04/2014	2014	NA2	B	NA2	M	NA2	YB1a
M014	M	N	N	80.20	128.00	48.7	09/04/2014	2014	NA2	B	NA2	M	NA2	YB1a
M015	M	N	N	83.00	123.90	63.1	09/04/2014	2014	NA2	B	NA2	M	NA2	YB2b 
M016	M	N	N	92.60	134.10	80	09/04/2014	2014	NA2	B	NA2	M	NA2	XX
M017	M	N	N	91.50	130.90	63.5	09/04/2014	2014	NA2	B	NA2	M	NA2	XX
M018	M	N	N	85.50	123.50	51.4	09/04/2014	2014	NA2	B	NA2	M	NA2	YB2b 
M019	M	N	N	86.80	136.50	57.5	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M020	M	N	N	75.00	118.60	38.9	10/04/2014	2014	NA2	C	NA2	M	NA2	YB10
M021	M	N	N	92.60	136.60	64.8	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M022	M	N	N	79.60	126.50	45.7	10/04/2014	2014	NA2	C	NA2	M	NA2	YB10
M023	M	N	N	75.70	111.70	44.1	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M024	M	N	N	76.50	119.90	33.8	10/04/2014	2014	NA2	C	NA2	M	NA2	YB20
M025	M	N	N	73.50	111.20	42.2	10/04/2014	2014	NA2	C	NA2	M	NA2	YB1a
M026	M	N	N	76.30	115.40	40.5	10/04/2014	2014	NA2	C	NA2	M	NA2	YB1a
M027	M	N	N	77.50	115.30	48.6	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M028	M	N	N	78.40	121.60	49.1	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M029	M	N	N	67.50	110.70	37.9	10/04/2014	2014	NA2	C	NA2	M	NA2	YB30
M030	M	N	N	79.60	117.40	43.3	10/04/2014	2014	NA2	C	NA2	M	NA2	YB20
M032	M	N	N	79.20	123.30	49.3	10/04/2014	2014	NA2	C	NA2	M	NA2	YB2b 
M033	M	N	N	74.60	115.00	40.7	10/04/2014	2014	NA2	C	NA2	M	NA2	YB2b 
M034	M	N	N	75.50	116.40	38.7	10/04/2014	2014	NA2	C	NA2	M	NA2	YB2a 
M035	M	N	N	83.30	123.80	51.2	10/04/2014	2014	NA2	C	NA2	M	NA2	YB1a
M036	M	N	N	81.30	135.70	62	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M037triplo	M	N	N	75.60	127.40	42.8	10/04/2014	2014	NA2	C	NA2	M	NA2	YB20
M038	M	N	N	67.00	106.80	35.3	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M039	M	N	N	69.00	123.90	32.4	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M040	M	N	N	80.20	121.10	49.2	10/04/2014	2014	NA2	C	NA2	M	NA2	YB10
M041	M	N	N	81.70	135.00	52.1	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M042	M	N	N	90.50	138.00	75	10/04/2014	2014	NA2	C	NA2	M	NA2	YB1a
M043	M	N	N	80.50	127.20	69.4	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M044	M	N	N	76.00	125.10	43.6	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M045	M	N	N	59.40	104.40	20.2	10/04/2014	2014	NA2	C	NA2	M	NA2	YB20
M046	M	N	N	81.30	123.80	62.7	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M047	M	N	N	71.70	115.10	34.8	10/04/2014	2014	NA2	C	NA2	M	NA2	YB1a
M048	M	N	N	70.20	109.40	33.1	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M049	M	N	N	78.90	123.80	47.6	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M050	M	N	N	71.60	117.60	40.6	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M051	M	N	N	70.40	120.50	42.5	10/04/2014	2014	NA2	C	NA2	M	NA2	YB1a
M052	M	N	N	70.70	117.20	40.5	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M053	M	N	N	68.70	114.10	35.1	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M054	M	N	N	80.20	119.20	47.1	10/04/2014	2014	NA2	C	NA2	M	NA2	YB50
M055	M	N	N	67.00	94.80	29.4	10/04/2014	2014	NA2	C	NA2	M	NA2	YB20
M056	M	N	N	60.90	104.80	27.4	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M057	M	N	N	83.60	135.10	63.5	10/04/2014	2014	NA2	C	NA2	M	NA2	XX
M058	M	N	N	75.50	115.30	35.7	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M059	M	N	N	77.30	125.10	45.3	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M060	M	N	N	79.90	122.80	40.4	11/04/2014	2014	NA2	D	NA2	M	NA2	YB50
M061	M	N	N	75.30	110.70	36.5	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M062	M	N	N	72.30	109.30	35.1	11/04/2014	2014	NA2	D	NA2	M	NA2	YB2a 
M063	M	N	N	81.60	132.20	53	11/04/2014	2014	NA2	D	NA2	M	NA2	YB30
M064	M	N	N	76.40	121.20	41.5	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M065	M	N	N	79.10	138.60	66.2	11/04/2014	2014	NA2	D	NA2	M	NA2	YB2a 
M066	M	N	N	79.90	117.50	46.4	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M067	M	N	N	86.70	130.20	59.5	11/04/2014	2014	NA2	D	NA2	M	NA2	YB10
M068	M	N	N	77.00	124.80	45.9	11/04/2014	2014	NA2	D	NA2	M	NA2	YB40
M069	M	N	N	77.80	119.10	43.4	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M070	M	N	N	76.60	127.40	44.5	11/04/2014	2014	NA2	D	NA2	M	NA2	YB1a
M071	M	N	N	74.60	114.90	41.1	11/04/2014	2014	NA2	D	NA2	M	NA2	YB2b 
M072	M	N	N	72.00	111.60	34.2	11/04/2014	2014	NA2	D	NA2	M	NA2	YB10
M073	M	N	N	84.20	130.00	58	11/04/2014	2014	NA2	D	NA2	M	NA2	YB1a
M074	M	N	N	83.50	128.00	51.3	11/04/2014	2014	NA2	D	NA2	M	NA2	YB2a 
M075	M	N	N	74.50	110.40	42.9	11/04/2014	2014	NA2	D	NA2	M	NA2	YB10
M076	M	N	N	86.10	129.50	48.6	11/04/2014	2014	NA2	D	NA2	M	NA2	YB50
M077	M	N	N	82.70	129.70	53	11/04/2014	2014	NA2	D	NA2	M	NA2	YB2b 
M078	M	N	N	79.90	122.60	58.4	11/04/2014	2014	NA2	D	NA2	M	NA2	YB40
M079	M	N	N	82.80	125.20	58.7	11/04/2014	2014	NA2	D	NA2	M	NA2	YB20
M080	M	N	N	75.60	120.70	38.7	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M081	M	N	N	77.80	110.10	41.2	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M082	M	N	N	81.80	130.20	48.1	11/04/2014	2014	NA2	D	NA2	M	NA2	YB2b 
M083	M	N	N	70.50	115.40	36.6	11/04/2014	2014	NA2	D	NA2	M	NA2	YB30
M084	M	N	N	83.40	132.40	65.6	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M085	M	N	N	87.60	127.20	64.9	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M086	M	N	N	65.70	107.60	34.8	11/04/2014	2014	NA2	D	NA2	M	NA2	YB20
M087	M	N	N	73.50	110.40	42.2	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M088	M	N	N	67.70	106.50	33	11/04/2014	2014	NA2	D	NA2	M	NA2	YB50
M089	M	N	N	72.50	109.60	32.1	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M090	M	N	N	82.00	122.30	57	11/04/2014	2014	NA2	D	NA2	M	NA2	YB2b 
M091	M	N	N	75.00	123.60	51	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M092	M	N	N	82.00	120.60	55.4	11/04/2014	2014	NA2	D	NA2	M	NA2	YB1a 
M093	M	N	N	76.90	119.00	46.5	11/04/2014	2014	NA2	D	NA2	M	NA2	YB10 
M094	M	N	N	79.80	122.40	49.7	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M095	M	N	N	68.00	111.90	34.3	11/04/2014	2014	NA2	D	NA2	M	NA2	YB30
M096	M	N	N	82.60	129.60	65.5	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
M097	M	N	N	87.20	124.40	50.7	11/04/2014	2014	NA2	D	NA2	M	NA2	XX
